source,date,week,rating,title,text,theme_label
Play Store,2026-08-20,2026-W34,1,,"Enable Login Otp option - via Email also @ not only via mobile otp . Most sims ( networks) are not allowing otp if recharge expired and we are forced to recharge - and such times we are facing problem to login to groww on new devices. Other Apps like Dhann, Upstox etc providing both Mobile + Gmail Login otps too. Only Groww is troubling without any customer friendly improvement. If this continues - will close all groww accounts. #Enable_Emailid_Login_Otp's_On_Groww read again",Onboarding & KYC
Play Store,2026-08-20,2026-W34,4,,is forex trading available on Groww? I tried for Dow but it's asking me to login again through email/google. Is this how it was intended to be?,Onboarding & KYC
Play Store,2026-08-20,2026-W34,5,,I was a newbie in share market groww helped to open demat account in minutes. user experience is such a great even for new user.,Onboarding & KYC
Play Store,2026-08-20,2026-W34,1,,"useless app. web portal and customer care sont access the same database. new user onboarding experience is pathetic. even after successful kyc completion, their systems don't reflect what was done on website. a platform that can't even handle new customer onboarding right, not sure has the capability to handle trading and financial transactions right",Onboarding & KYC
Play Store,2026-08-20,2026-W34,5,,"hmm good platform to invest in and it's interface is easy to use,",Orders & Investing
Play Store,2026-08-20,2026-W34,4,,best app for withdrawal and fast process 👍🏻,Payments & Withdrawals
Play Store,2026-08-19,2026-W34,1,,"Dear groww, Worst app always i have profit for 2500 but app was automatically refreshing get stuck my loss happen due to groww app I want to raise complain groww",App Performance & UX
Play Store,2026-08-19,2026-W34,5,,good apps and very helpful.,Unthemed
Play Store,2026-08-19,2026-W34,5,,great,Unthemed
Play Store,2026-08-18,2026-W34,5,,"Easy for beginners , good ui , very responsive great experience",App Performance & UX
Play Store,2026-08-17,2026-W34,2,,app me multi account login krne par switch account work nhi kr rha hai.,Onboarding & KYC
Play Store,2026-08-17,2026-W34,1,,please please delite the groww app and delete your account withdrawal problems please delite the application,Payments & Withdrawals
Play Store,2026-08-17,2026-W34,1,,bekar bekar Hai third grade sale scammer Hai sabke sab ismein koi bhi apna Paisa invest mat karna,Payments & Withdrawals
Play Store,2026-08-17,2026-W34,2,,super,Unthemed
Play Store,2026-08-16,2026-W33,1,,"kyc process takes longer than usual time, now sent closure request before 2days,again on waiting, no reply of msg,mail and when call, IVR keeps you on waiting and after5 minutes call ends,and also no follow up for my request from their side, i just UNINSTALLED the APP, worst experience...",Onboarding & KYC
Play Store,2026-08-16,2026-W33,1,,this app is useless I invest in sip money debited but but didn't allotted and money is also not refund and when I call customer care they didn't pick the phone don't invest in this fake app .,Payments & Withdrawals
Play Store,2026-08-16,2026-W33,1,,"Many important changes reqired, User friendly not there. , There should be add and remove settings for the Option Greeks as per user desides set on the page and also which is occupied full of space and data is not updated in time that shows same numbers always Another PCR value must be visible on the upside of the each page each sector. Speed needs to be improve lot. Data not updating time to time. Most of the time Change in OI stucks with sams data for long time. etc, etc,.",Unthemed
Play Store,2026-08-15,2026-W33,1,,selfie verification while login is not possible when u logging again and again it should be removed,Onboarding & KYC
Play Store,2026-08-15,2026-W33,5,,I would love to have a demat account,Onboarding & KYC
